G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
NoName,A,20,15,65,50,25,75,4,1,6,5,2,3,1010,48.10
NoName,B,50,50,50,50,50,50,4,1,6,5,2,3,1050,50.00
