G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
M4,A,70,50,100,55,95,80,3,1,6,2,5,4,1765,84.05
M4,B,50,50,50,50,50,50,3,1,6,2,5,4,1050,50.00
