G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
Mt,A,80,10,90,35,70,20,4,1,6,3,5,2,1365,65.00
Mt,B,50,50,50,50,50,50,4,1,6,3,5,2,1050,50.00
