G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
M1,A,65,5,30,50,30,10,6,1,3,5,4,2,875,41.67
M1,B,50,50,50,50,50,50,6,1,3,5,4,2,1050,50.00
