G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
M2,A,80,10,95,60,65,35,5,1,6,3,4,2,1490,70.95
M2,B,50,50,50,50,50,50,5,1,6,3,4,2,1050,50.00
