G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
M3,A,75,15,65,71,90,55,5,1,2,4,6,3,1509,71.86
M3,B,50,50,50,50,50,50,5,1,2,4,6,3,1050,50.00
