,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
1,40.25,39.5,39.5,1.0451574880239891,1.0020523244340669,0.043105163589922224,0.75,7.5
2,56.5,50.75,50.75,1.1836797651718927,1.0198484996927122,0.16383126547918048,5.75,8.0
3,57.25,56.75,50.75,1.1851010901886723,1.0198484996927122,0.16525259049596008,6.5,7.0
4,77.0,72.25,72.25,1.1405499002248383,1.0939681934873928,0.04658170673744544,4.75,5.75
5,86.5,84.25,84.25,1.1300816783281125,1.1143132995076845,0.01576837882042792,2.25,0.0
6,89.5,87.0,87.0,1.1507987209885944,1.1283852994535328,0.02241342153506154,2.5,3.75
7,90.25,90.0,87.0,1.1504244936820383,1.1283852994535328,0.02203919422850542,3.25,4.0
8,107.0,102.25,102.25,1.1766444056871952,1.136920820089396,0.039723585597799094,4.75,120.75
9,122.0,115.25,115.25,1.5313187454817283,1.1693830406237598,0.36193570485796855,6.75,102.25
10,129.25,125.75,125.75,1.5364996612206434,1.4728521409779782,0.06364752024266518,3.5,80.5
11,138.0,134.75,134.75,1.5744964371033963,1.5193619466507577,0.05513449045263852,3.25,6.75
12,162.5,160.75,160.75,1.5449827018218238,1.5293700653479698,0.015612636473854025,1.75,14.5
13,183.25,182.0,182.0,1.5593933891122194,1.5485289397417148,0.01086444937050457,1.25,2.25
14,212.75,210.5,210.5,1.567365699581175,1.3987426271845367,0.16862307239663843,2.25,11.25
15,213.75,213.25,213.25,1.548732681472643,1.5337136641607056,0.015019017311937333,0.5,10.0
16,214.75,214.0,214.0,1.5620355051967096,1.54409542958794,0.017940075608769535,0.75,9.0
17,216.5,215.25,215.25,1.5730889947193825,1.5618878467338493,0.011201147985533177,1.25,1.5
18,222.0,221.0,221.0,1.5786678661448532,1.5585520156051638,0.02011585053968945,1.0,0.5
19,223.25,222.5,222.5,1.7031507286722443,1.565664447541918,0.13748628113032635,0.75,0.5
20,224.75,224.25,224.25,1.476636967560224,1.3465025474963714,0.13013442006385256,0.5,2.5
21,225.5,225.25,224.25,1.4603636370524242,1.3465025474963714,0.11386108955605279,1.25,1.75
22,228.75,227.75,227.75,1.4907454018919648,1.1369579562008045,0.3537874456911603,1.0,0.0
23,229.75,229.25,229.25,1.435445221119175,1.4015223852827112,0.03392283583646383,0.5,0.0
24,231.0,230.25,230.25,1.4725407527068706,1.4311086709725738,0.0414320817342968,0.75,0.0
25,232.0,231.25,231.25,1.5329158264740652,1.4701172595030425,0.0627985669710227,0.75,7.75
26,244.5,243.25,243.25,1.5125979139192733,1.4889405649275107,0.02365734899176264,1.25,0.25
