,Unnamed: 0,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,1,40.25,39.5,39.5,1.0451574880239891,1.0020523244340669,0.043105163589922224,0.75,7.5
1,2,56.5,50.75,50.75,1.1836797651718929,1.0198484996927122,0.16383126547918048,5.75,8.0
2,3,57.25,56.75,50.75,1.1851010901886725,1.0198484996927122,0.16525259049596008,6.5,7.0
3,4,77.0,72.25,72.25,1.1405499002248385,1.0939681934873928,0.04658170673744544,4.75,5.75
4,5,86.5,84.25,84.25,1.1300816783281125,1.1143132995076843,0.01576837882042792,2.25,0.0
5,6,89.5,87.0,87.0,1.1507987209885944,1.1283852994535328,0.02241342153506154,2.5,3.75
6,7,90.25,90.0,87.0,1.1504244936820385,1.1283852994535328,0.022039194228505418,3.25,4.0
7,8,107.0,102.25,102.25,1.1766444056871952,1.1369208200893959,0.03972358559779909,4.75,120.75
8,9,122.0,115.25,115.25,1.5313187454817283,1.1693830406237598,0.36193570485796855,6.75,102.25
9,10,129.25,125.75,125.75,1.5364996612206434,1.4728521409779782,0.06364752024266518,3.5,80.5
10,11,138.0,134.75,134.75,1.5744964371033965,1.5193619466507575,0.05513449045263852,3.25,6.75
