,PeakTime,BottomTime,PeakStartTime,PeakValue,PeakStartValue,Amplitude,RiseTime,HalfRecoveryTime
0,113.0,111.0,111.0,0.24462058780032248,0.2192789301853268,0.025341657614995683,2.0,0.0
1,113.75,113.25,111.0,0.24511265359625117,0.2192789301853268,0.02583372341092438,2.75,0.0
2,116.0,114.25,114.25,0.2572929543365883,0.24128303580746518,0.01600991852912309,1.75,0.0
3,128.25,127.75,126.75,0.2833429693541932,0.2721324880506366,0.011210481303556563,1.5,0.0
4,155.75,154.5,154.5,0.3253233582818165,0.30902851509724166,0.01629484318457486,1.25,0.75
5,158.5,156.75,156.75,0.3364336088720791,0.3139359436294203,0.022497665242658837,1.75,0.0
6,207.75,206.0,206.0,0.4011369855058295,0.3823274084230826,0.018809577082746887,1.75,0.0
7,208.5,208.0,206.0,0.402319532446975,0.3823274084230826,0.019992124023892388,2.5,0.0
8,210.5,209.0,209.0,0.412738708370882,0.3981183845794839,0.014620323791398104,1.5,0.0
9,246.5,244.25,244.25,0.4765601923088904,0.4659101090853341,0.010650083223556317,2.25,0.0
10,252.75,251.25,251.25,0.4957645543901717,0.4796364549091354,0.016128099481036273,1.5,0.0
11,256.0,254.25,254.25,0.5200001551824289,0.49975506512416973,0.020245090058259196,1.75,0.0
12,259.0,256.5,256.5,0.5321914550113291,0.516054826994584,0.01613662801674509,2.5,0.0
13,284.0,280.75,280.75,0.5885888881195243,0.5498514632672082,0.038737424852316016,3.25,2.75
14,304.5,301.75,301.75,0.6334465096836185,0.5710856401678001,0.06236086951581843,2.75,0.0
