,t,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,CVI,SCL,EDA,correct,error,PE,NPE,PEm,NPEm,DMS
32,62,0.13333333333333333,33.048603412060004,0.04317563005122855,28.57122074090083,80.70396980268892,1246.496734868568,2.1524861352134,2.5985412725360146,1.072693601528848,1.115147719100264,0.744246460505173,0.255753539494827,3.522525517399539e-18,0.744246460505173,0.744246460505173,0.744246460505173,0.744246460505173
33,63,0.13333333333333333,32.32504688576513,0.0438500670399868,30.016288176286924,78.56171659340502,1452.9543609636612,2.442139571373784,2.6651021001084056,1.0744724987744496,1.107657081449894,0.7323798678055127,0.26762013219448727,1.2564375711710104e-17,0.7323798678055127,0.7323798678055127,0.7323798678055127,0.7323798678055127
34,64,0.13333333333333333,32.54122459298003,0.045595375633813114,31.44573495983575,79.89046032184868,1577.490004936601,2.7895591850946606,2.7008167435170414,1.0760256154578869,1.104589223729414,0.7293251424277474,0.27067485757225246,1.5875297487747734e-17,0.7293251424277474,0.7293251424277474,0.7293251424277474,0.7293251424277474
35,65,0.13333333333333333,32.60241894409775,0.0462689425550419,33.48281302216263,76.56073217371926,1688.1019273564036,3.04335145310962,2.730248793026789,1.0774887802850803,1.1015981378523434,0.744948721551506,0.25505127844849385,4.0525040595834255e-18,0.744948721551506,0.744948721551506,0.744948721551506,0.744948721551506
36,66,0.1,31.654909903239076,0.04748088544738628,33.92880646985474,75.05992718142501,1702.645798449654,3.289545059402966,2.7339744383465114,1.078854666747399,1.096420608586345,0.784865072577262,0.21513492742273807,-2.4174295025567056e-17,0.784865072577262,0.784865072577262,0.784865072577262,0.784865072577262
37,67,0.1,30.930663208834776,0.045572399610957375,33.07944387789971,74.60623130170258,1691.5381942069803,3.302028486577854,2.731131935723724,1.0801658888489156,1.0910692955646186,0.8265857741927334,0.1734142258072664,-1.632462262856935e-17,0.8265857741927334,0.8265857741927334,0.8265857741927334,0.8265857741927334
38,68,0.1,30.088103637988976,0.04533094589723334,33.102272400859334,74.36028543092138,1690.1575189081145,3.237889357838607,2.730777309082072,1.0813371626064858,1.0916022307170317,0.840549616192351,0.15945038380764875,7.801229462755825e-17,0.840549616192351,0.840549616192351,0.840549616192351,0.840549616192351
39,69,0.1,29.94339157944271,0.04326647084019808,32.04968362609249,73.99835118292015,1620.1962295660132,2.9846341826324005,2.712417744476099,1.0827127444061173,1.0925858129465809,0.834894453770689,0.16510554622931073,1.012658464485735e-16,0.834894453770689,0.834894453770689,0.834894453770689,0.834894453770689
40,70,0.1,29.53795112039459,0.039717587184580704,29.871055099249773,72.77693112255324,1549.0429530419758,2.7565379374927064,2.6929135876799712,1.0845981345462714,1.09257642752986,0.8360000805154899,0.1639999194845098,-1.8454821391371557e-16,0.8360000805154899,0.8360000805154899,0.8360000805154899,0.8360000805154899
41,71,0.1,29.629560695563857,0.03822787072959475,29.1843830358954,72.3122496971283,1483.7037528457763,2.6981573436229764,2.674197322488798,1.0864289088250794,1.0942882226472497,0.8412295023800971,0.15877049761990297,-3.6710944712063646e-16,0.8412295023800971,0.8412295023800971,0.8412295023800971,0.8412295023800971
42,72,0.1,29.565673169293635,0.037397863685574684,28.806749223957024,69.94460295816981,1480.0625729252863,2.6434330442758287,2.6731302038506324,1.0881792367430483,1.0942535694709188,0.8188699958473077,0.1811300041526922,5.67379050022109e-16,0.8188699958473077,0.8188699958473077,0.8188699958473077,0.8188699958473077
