G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
D_t3,A,50,0,0,70,40,29,3,2,5,4,6,1,699,33.29
D_t3,B,60,9,60,75,85,31,3,2,5,4,6,1,1339,63.76
