G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
D_24,A,17,11,86,60,98,62,1,4,6,2,5,3,1373,65.38
D_24,B,16,21,97,59,91,41,1,4,6,2,5,3,1378,65.62
