G,S,MD,PD,TP,EF,FR,AC,M,P,T,E,F,A,SUM,WWL
D_1,A,52,14,33,74,53,21,5,1,4,6,3,2,1051,50.05
D_1,B,50,50,50,50,50,50,5,1,4,6,3,2,1050,50.00
